,Domain_Name,Organization_Name
1640,kv1golconda.edu.in,"Kendriya Vidyalaya No.1, Golconda, Hyderabad"
1641,kv1gwalior.org,"Kendriya Vidyalaya No.1, Gwalior, Madhya Pradesh"
1642,kv1jalahalli.org,"Kendriya Vidyalaya No 1 AFS Jalahalli, West Bangalore, Karnataka"
1643,kv1jamnagar.edu.in,"Kendriya Vidyalaya No.1, A.F.S, Jamnagar, Gujarat"
1644,kv1madurai.tn.nic.in,"Kendriya Vidyalaya No 1, Madurai, Tamil Nadu"
1645,kv1mnglr.org,"Kendriya Vidyalaya No.1, Mangalore, Karnataka"
1646,kv1nsbvizag.org,"Kendriya Vidyalaya 1, Nausenabagh, Visakhapatnam"
1647,kv1palakkad.nic.in,"Kendriya Vidyalaya No.1 Palakkad, Kerala"
1648,kv1patiala.org,"Kendriya Vidyalaya No.1, Patiala Cantonment, Punjab"
1649,kv1portblair.org.in,"Kendriya Vidyalaya No.1, Port Blair, South Andaman"
1650,kv1sagar.com,"Kendriya Vidyalaya No. 1 Sagar, Madhya Pradesh"
1651,kv1sirsa.org,"Kendriya Vidyalaya, Air Force Station, Sirsa, Haryana"
1652,kv1stcjabalpur.com,"Kendriya Vidyalaya KV 1STC, Jabalpur, Madhya Pradesh"
1653,kv1tambaram.tn.nic.in,"Kendriya Vidyalaya No 1,AFS,Tambaram,Chennai, Tamil Nadu"
1654,kv1tirupati.ap.nic.in,"Kendriya Vidyalaya No.1, Tirupati, Andhra Pradesh"
1655,kv1udaipur.org,"Kendriya Vidyalaya No.1, Udaipur, Rajasthan"
1656,kv1udhampur.org,"Kendriya Vidyalaya No.1 Udhampur, Jammu and Kashmir"
1657,kv1uppal.edu.in,"Kendriya Vidyalaya No.1, Uppal, Hyderabad"
1658,kv1vijayawada.org,"Kendriya Vidyalaya No.1 Vijayawada, Andhra Pradesh"
1659,kv23brd.com,"Kendriya Vidyalaya 3BRD, AFS, Chandigarh"
1660,kv25rohini.edu.in,"Kendriya Vidyalaya Sector - 25, Rohini, Delhi"
1661,kv2afa.ac.in,"Kendriya Vidyalaya No.2, Air Force Academy, Dundigal, Hyderabad"
1662,kv2afssuratgarh.org,"Kendriya Vidyalaya No.2, AFS, Suratgarh, Rajasthan"
1663,kv2ahmedabad.org,"Kendriya Vidyala No. 2  Ahmedabad Cantonment, Gujarat"
1664,kv2ajmer.org,"Kendriya Vidyalaya No. 2, Ajmer, Rajasthan"
1665,kv2ambala.com,"Kendriya Vidyalaya, No.2 Ambala, Haryana"
1666,kv2armapur.org,"Kendriya Vidyalaya No.2 Armapur, Uttar Pradesh"
1667,kv2armybhuj.org,"Kendriya Vidyalaya No.2 Bhuj (Army), Gujarat"
1668,kv2bpl.org,"Kendriya Vidyalaya No. 2, Bhopal, Madhya Pradesh"
1669,kv2calicut.nic.in,"Kendriya Vidyalaya No 2, Kozhikode, Calicut"
1670,kv2chhindwara.org,"Kendriya Vidyalaya NO.2 Chhindwara, Madhya  Pradesh"
1671,kv2cpeitarsi.org,"Kendriya Vidyalaya No 2 C.P.E. Itarsi, Madhya Pradesh"
1672,kv2delhicantt.org,"Kendriya Vidyalaya No 2, Delhi Cantonment, New Delhi"
1673,kv2fbd.edu.in,"Kendriya Vidyalaya No.2 - Faridabad, Haryana"
1674,kv2gcfjbp.edu.in,"Kendriya Vidyalaya, GCF No.2, Jabalpur, Madhya Pradesh"
1675,kv2golconda.org,"Kendriya Vidyalaya No.2, Golconda, Hyderabad"
1676,kv2indore.org,"Kendriya Vidyalaya No.2, Bijasan Tekari, Indore, Madhya Pradesh"
1677,kv2jaipur.org,"Kendriya Vidyalaya No.2 Military Station, Jaipur, Rajasthan"
1678,kv2jal.com,"Kendriya Vidayalaya, No.2, Jalandhar Cantonment, Punjab"
1679,kv2jammu.in,"Kendriya Vidyalaya No.2,Jammu"
1680,kv2kalpakkam.tn.nic.in,"Kendriya Vidyalaya No 2, Kalpakkam, Tamil Nadu"
1681,kv2kkd.com,"Kendriya Vidyalaya, No-2, Air Force Station, Kalaikunda, Midnapur, West Bengal"
1682,kv2kota.edu.in,"Kendriya Vidyalaya No.2, Kota, Rajasthan"
1683,kv2kribhco.org.in,"Kendriya Vidyalaya No.2 Kribhco Township, Surat, Gujarat"
1684,kv2langjingimphal.org,"Kendriya Vidyalaya No.2, Langjing - Imphal, Manipur"
1685,kv2madurai.tn.nic.in,"Kendriya Vidyalaya, Tiruparankundram,  Madurai, Tamil Nadu"
1686,kv2nsbvizag.org,"Kendriya Vidyalaya No.2 Nausenabagh, Visakhapatnam"
1687,kv2portblair.org,"Kendriya Vidyalaya No.II Portblair, Andaman and Nicobar Islands"
1688,kv2roorkee.org,"Kendriya Vidyalaya No.2, B.E.G and Centre, Roorkee, Uttarakhand"
1689,kv2sagar.com,"Kendriya Vidyalaya Sagar No.2, Makronia Sagar, Madhya Pradesh"
1690,kv2sirsa.org,"Kendriya Vidyalaya No.2 Sirsa, Haryana"
1691,kv2svnagar.ap.nic.in,"Kendriya Vidyalaya, Sri vijaya Nagar, Visakhapatnam"
1692,kv2tambaram.tn.nic.in,"Kendriya Vidyalaya No 2,AFS,Tambaram,Chennai, Tamil Nadu"
1693,kv2tirupati.ap.nic.in,"Kendriya Vidyalaya No.2, CRS, Tirupati, Andhra Pradesh"
1694,kv2uppal.ap.nic.in,"Kendriya Vidyalaya No.2, Uppal, Hyderabad"
1695,kv2vasco.com,"Kendriya Vidyalaya No.2 Vasco, Goa"
1696,kv2vijayawada.edu.in,"Kendriya Vidyalaya No.2 Vijayawada, Andhra Pradesh"
1697,kv3agracantt.org,"Kendriya Vidyalaya No.-3, W.A.C. Lines, Agra, Uttar Pradesh"
1698,kv3bathinda.com,"Kendriya Vidyalaya No. 3 AFS Bhisiana, Bathinda, Punjab"
1699,kv3bokaro.org,"Kendriya Vidyalaya No.3 Bokaro, Jharkhand"
1700,kv3chakeri.org,"Kendriya Vidyalaya No.3 Air Force Station, Kanpur, Uttar Pradesh"
1701,kv3gwalior.org,"Kendriya Vidyalaya No-3 Morarcantt, Gwalior, Madhya Pradesh"
1702,kv3jaipur.org,"Kendriya Vidyalaya No.3, Jaipur, Rajasthan"
1703,kv3nalbikaner.org,"Kendriya Vidyalaya No3, Air Force Station, Nal, Bikaner, Rajasthan"
1704,kv3pathankot.org,"Kendriya Vidyalaya No.3 Pathankot (Mamoon Cantt), Punjab"
1705,kv3patiala.org,"Kendriya Vidyalaya No. 3 Patiala Cantonment, Punjab"
1706,kv4ambala.org,"Kendriya Vidyalaya No.4 Ambala Cantonment, Haryana"
1707,kv4gwalior.edu.in,"Kendriya Vidyalaya No.4 Maharajpur, Gwalior, Madhya Pradesh"
1708,kv5bathinda.org.in,"Kendriya Vidyalaya No.5 Bathinda Cantt, Punjab"
1709,kv5gwalior.org,"Kendriya Vidyalaya No.5, Gwalior, Madhya Pradesh"
1710,kv5jaipur.org,"Kendriya Vidyalaya No.5, Jaipur, Rajasthan"
1711,kv6jaipur.org,"Kendriya Vidyalaya No.6, Jaipur, Rajasthan"
1712,kvaairangpuri.edu.in,"Kendriya Vidayalaya A.A.I, Rangpuri, New Delhi"
1713,kvabohar.org,"Kendriya Vidyalaya Abohar, Punjab"
1714,kvadoor.gov.in,"Kendriya Vidyalaya, Adoor, Pathanamthitta, Kerala"
1715,kvafsakkulam.nic.in,"Kendriya Vidyalaya, Akkulam, Thiruvananthapuram, Kerala"
1716,kvafsavadi.tn.nic.in,"Kendriya Vidyalaya, AFS, Avadi, Tamil Nadu"
1717,kvafsbihta.org,"Kendriya Vidyalaya, AFS, Bihta, Bihar"
1718,kvafsjorhat.ac.in,"Kendriya Vidyalaya AFS Jorhat, Assam"
1719,kvajni.org.in,"Kendriya Vidyalaya, Ajni, Nagpur"
1720,kvamclko.in,"Kendriya Vidyalaya AMC, Lucknow, Uttar Pradesh"
1721,kvamla.com,"Kendriya Vidyalaya AFS Amla, Madhya Pradesh"
1722,kvanantapur.ap.nic.in,"Kendriya Vidyalaya, Anantapur, Andhra Pradesh"
1723,kvanantnag.org,"Kendriya Vidyalaya, Anantnag"
1724,kvandrewsganj.edu.in,"Kendriya Vidyalaya, Andrews Ganj, New Delhi"
1725,kvangul.org,"Kendriya Vidyalaya, Angul, Odisha"
1726,kvankleshwar.com,"Kendriya Vidyalaya ONGC, Ankleshwar, Gujarat"
1727,kvannanagar.tn.nic.in,"Kendriya Vidyalaya, Anna Nagar, Chennai, Tamil Nadu"
1728,kvanupgarh.nic.in,"Kendriya Vidyalaya, BSF, Anupgarh, Rajasthan"
1729,kvarakkonamone.tn.nic.in,"Kendriya Vidyalaya, Arakkonam, Tamil Nadu"
1730,kvasc.kar.nic.in,"Kendriya Vidyalaya ASC and Centre No.1, Bangalore"
1731,kvaurangabad.org,"Kendriya Vidyalaya Aurangabad, Maharashtra"
1732,kvavikanagar.org,"Kendriya Vidyalaya, Avikanagar, Rajasthan"
1733,kvavk.tn.nic.in,"Kendriya Vidyalaya, Aruvankadu, The Nilgiris, Tamil Nadu"
1734,kvbaileyroadpatna.org,"Kendriya Vidyalaya No.2, Bailey Road, Patna"
1735,kvbairagarh.org.in,"Kendriya Vidyalaya Bairagarh, Bhopal, Madhya Pradesh"
1736,kvbalasore.org,"Kendriya Vidyalaya, Balasore, Odisha"
1737,kvballygunge.org,"Kendriya Vidyalaya Ballygunge, Kolkata"
1738,kvbamrauli.org,"Kendriya Vidyalaya, Bamrauli, Allahabad"
1739,kvbaramulla.com,"Kendriya Vidyalaya Baramulla, Jammu and Kashmir"
1740,kvbaran.nic.in,"Kendriya Vidyalaya, Baran, Rajasthan"
1741,kvbargarh.org,"Kendriya Vidyalaya Bargarh, Odisha"
1742,kvbaripada.edu.in,"Kendiya Vidyalaya, Baripada, Mayurbhanj, Odisha"
1743,kvbarkuhi.nic.in,"Kendriya Vidyalaya, Barkuhi, Madhya Pradesh"
1744,kvbeawar.org,"Kendriya Vidyalaya   Beawar, Rajasthan"
1745,kvbegumpet.ap.nic.in,"Kendriya Vidyalaya, Begumpet, Hyderabad"
1746,kvberhampur.edu.in,"Kendriya Vidyalaya Berhampur, Odisha"
1747,kvbhakli.edu.in,"Kendriya Vidyalaya, Bhakli, Rewari, Haryana"
1748,kvbhandup.edu.in,"Kendriya Vidyalaya, Bhandup, Maharashtra"
1749,kvbharatpur.edu.in,"Kendriya Vidyalaya, Bharatpur, Rajasthan"
1750,kvbhawanipatna.org,"Kendriya Vidyalaya Bhawanipatna, Kalahandi, Odisha"
1751,kvbhel.org,"Kendriya Vidyalaya, BHEL Industrial Area, Jagdishpur, Uttar Pradesh"
1752,kvbhilai.com,"Kendriya Vidyalaya B.M.Y., Bhilai, Chhattisgarh"
1753,kvbhind.org,"Kendriya Vidyalaya, Bhind, Madhya Pradesh"
1754,kvbhuvaranasi.org,"Kendriya Vidyalaya BHU, BHU Campus, Varanasi"
1755,kvbijapur.ac.in,"Kendriya Vidyalaya Bijapur, Karnataka"
1756,kvbilaspur.com,"Kendriya Vidyalaya,  Bilaspur, Chhattisgarh"
1757,kvbn2.org,"Kendriya VidyalayaNo.2, Belgaum, Karnataka"
1758,kvbndm.org,"Kendriya Vidyalaya, Bondamunda, Odisha"
1759,kvbokajan.org,"Kendriya Vidyalaya CCI Bokajan, Assam"
1760,kvbolarum.org,"Kendriya Vidyalaya, Bolarum, Andhra Pradesh"
1761,kvbowenpally.edu.in,"Kendriya Vidyalaya, Bowenpally, Hyderabad"
1762,kvbsfjodhpur.nic.in,"Kendriya Vidyalaya, BSF, Jodhpur, Rajasthan"
1763,kvburdwan.net,"Kendriya Vidyalaya Burdwan, West Bengal"
1764,kvcalicutone.nic.in,"Kendriya Vidyalaya No.1, Kozhikode, Calicut"
1765,kvccl.org.in,"Kendriya Vidyalaya Central Coal Field, Ranchi"
1766,kvchamera2.org,"Kendriya Vidyalaya NHPC Chamera-II, Karian, Chamba, Himachal Pradesh"
1767,kvchapra.org,"Kendriya Vidyalaya, Chapra, Bihar"
1768,kvchopan.com,"Kendriya Vidyalaya Chopan, Sonebhadra, Uttar Pradesh"
1769,kvchuru.nic.in,"Kendriya Vidyalaya, Churu, Rajasthan"
1770,kvclrichennai.tn.nic.in,"Kendriya Vidyalaya, CLRI, Chennai"
1771,kvcme.org,"Kendriya Vidyalaya, College of Military Engineering (CME), Pune"
1772,kvcmeridgp.org,"Kendriya Vidyalaya, CMERI Colony, Durgapur, West Bengal"
1773,kvcodjabalpur.com,"Kendriya Vidyalaya, Jabalpur, Madhya Pradesh"
1774,kvcoimbatore.tn.nic.in,"Kendriya Vidyalaya, Coimbatore, Tamil nadu"
1775,kvcoochbehar.com,"Kendriya Vidyalaya, Cooch Behar, Kolkata, West Bengal"
1776,kvcpcri.org,"Kendriya Vidyalaya No.2, Kasaragod, Kerala"
1777,kvcrpfavadi.tn.nic.in,"Kendriya Vidyalaya, CRPF, Avadi, Chennai, Tamil Nadu"
1778,kvcrpfdurgapur.com,"Kendriya Vidyalaya, C.R.P.F, Durgapur, West Bengal"
1779,kvcrpfhyd.edu.in,"Kendriya Vidyalaya, CRPF, Hyderabad, Andhra Pradesh"
1780,kvcrpfmokama.org,"Kendriya Vidyalaya, C.R.P.F. Mokamaghat, Bihar"
1781,kvcrpfnagpur.org,"Kendriya Vidyalaya, CRPF Nagpur, Maharashtra"
1782,kvcrpfpinjore.org,"Kendriya Vidyalaya, GC, CRPF, Pinjore, Haryana"
1783,kvdamoh.edu.in,"Kendriya Vidyalaya, Damoh, Madhya Pradesh"
1784,kvdanapurpatna.org,"Kendriya Vidyalaya, Danapur, Bihar"
1785,kvdantewada.com,"Kendriya Vidyalaya, Dantewada, Chhattisgarh"
1786,kvdc1.in,"Kendriya Vidyalaya No.1 Delhi Cantonment, New Delhi"
1787,kvdeoli.org,"Kendriya Vidyalaya CISF Campus, Deoli, Rajasthan"
1788,kvdgqachennai.tn.nic.in,"Kendriya Vidyalaya, DGQA, Chennai, Tamil Nadu"
1789,kvdhana.edu.in,"Kendriya Vidyalaya, Dhana, Madhya Pradesh"
1790,kvdhanpuri.com,"Kendriya Vidyalaya Dhanpuri, Madhya Pradesh"
1791,kvdhar.org.in,"Kendriya Vidyalaya, Dhar, Madhya Pradesh"
1792,kvdharmapuri.tn.nic.in,"Kendriya Vidyalaya, Dharmapuri, Tamil Nadu"
1793,kvdharwad.ac.in,"Kendriya Vidyalaya, Dharwad, Karnataka"
1794,kvdhenkanal.org,"Kendriya Vidyalaya , Dhenkanal, Odisha"
1795,kvdhule.com,"Kendriya Vidyalaya, Dhule, Maharashtra"
1796,kvdimapur.com,"Kendriya Vidyalaya, Dimapur, Nagaland"
1797,kvdiu.org,"Kendriya Vidyalaya, Fudam, Diu"
1798,kvdongargarh.com,"Kendriya Vidyalaya, Dongargarh, Chhattisgarh"
1799,kvdonimalai.ac.in,"Kendriya Vidyalaya, Donimalai, Karnataka"
1800,kvduliajan.org.in,"Kendriya Vidyalaya, Duliajan, Assam"
1801,kvdungarpur.org,"Kendriya Vidyalaya Dungarpur, Rajasthan"
1802,kveacuppershillong.org,"Kendriya Vidyalaya EAC, Upper Shillong, Meghalaya"
1803,kveklinggarh.org,"Kendriya Vidyalaya 2, Eklinggarh, Udaipur, Rajasthan"
1804,kvekm.gov.in,"Kendriya Vidyalaya Ernakulam, Kerala"
1805,kvemailaram.edu.in,"Kendriya Vidyalaya EdduMailaram, Hyderabad"
1806,kvemebrd.org,"Kendriya Vidyalaya No.2 EME Baroda, Gujarat"
1807,kvfbd1.com,"Kendriya Vidyalaya No.1 Faridabad, Haryana"
1808,kvgachibowli.edu.in,"Kendriya Vidyalaya, Gachibowli, Hyderabad"
1809,kvgajapati.org,"Kendriya Vidyalaya , Gajapati, Odisha"
1810,kvgandhigram.tn.nic.in,"Kendriya Vidyalaya, Gandhigram, Tamil Nadu"
1811,kvgangapurcity.org,"Kendriya Vidyalaya Railway Colony, Gangapur, Rajasthan"
1812,kvgangtok.org,"Kendriya Vidyalaya Gangtok, Sikkim"
1813,kvgillnagarchennai.tn.nic.in,"Kendriya Vidyalaya, Gill Nagar, Chennai, Tamil Nadu"
1814,kvgnrcrpf.org,"Kendriya Vidyalaya CRPF Campus, Gandhinagar, Gujarat"
1815,kvgooty.ap.nic.in,"Kendriya Vidyalaya, Gooty, Andhra Pradesh"
1816,kvgopalganj.org.in,"Kendriya Vidyalaya, Thawe, Gopalganj, Bihar"
1817,kvgumla.org.in,"Kendriya Vidyalaya,Gumla, Jharkhand"
1818,kvguntur.ap.nic.in,"Kendriya  Vidyalaya, Guntur, Andhra Pradesh"
1819,kvgurgaon.edu.in,"Kendriya Vidyalaya, Sector - 14, Gurgaon"
1820,kvhakimpet.ap.nic.in,"Kendriya Vidyalaya, AFS, Hakimpet, Hyderabad"
1821,kvhappyvalley.com,Kendriya Vidyalaya Happy Valley Shillong
1822,kvhasimara.edu.in,"Kendriya Vidyalaya Hasimara, West Bengal"
1823,kvhassan.edu.in,"Kendriya Vidayalaya Hassan, Karnataka"
1824,kvhebbal.ac.in,"Kendriya Vidyalaya Hebbal, Bangalore, Karnataka"
1825,kvhimmatnagar.edu.in,"Kendriya Vidyalaya Himmat Nagar, Gujarat"
1826,kvhinoo.org.in,"Kendriya Vidyalaya,  Hinoo, Ranchi, Jharkhand"
1827,kvhiranagar.com,"Kendriya Vidyalaya, Hiranagar, Jammu and Kashmir"
1828,kvhisarcantt.org,"Kendriya Vidyalaya Military Station, Hisar, Haryana"
1829,kvhospet.ac.in,"Kendriya Vidyalaya Hospet, Karnataka"
1830,kvhvfavadi.tn.nic.in,"Kendriya Vidyalaya, HVF, Avadi, Chennai, Tamil Nadu"
1831,kvic.org.in,Khadi and Village Indutries Commission (KVIC)
1832,kvichhanathsurat.com,"Kendriya Vidyalaya No.1, Ichhanath, Surat"
1833,kvidukki.gov.in,"Kendriya Vidyalaya Idukki, Kerala"
1834,kviim.org.in,"Kendriya Vidyalaya IIM, Lucknow"
1835,kviitchennai.tn.nic.in,"Kendriya Vidyalaya IIT, Chennai Region, Tamil Nadu"
1836,kviitguwahati.org,"Kendriya Vidyalaya IIT Guwahati, Assam"
1837,kviitkgp.com,"Kendriya Vidyalaya, IIT Kharagpur, West Bengal"
1838,kviitmumbai.in,"Kendriya Vidyalaya, I.I.T. Campus, Powai, Mumbai"
1839,kvindunagar.com,"Kendriya Vidyalaya ,Ooty, Tamil Nadu"
1840,kvinfjam.in,"Kendriya Vidyalaya No. 2, INF Lines, Jamnagar, Gujarat"
1841,kvinsdronacharyacochin.nic.in,"Kendriya Vidyalaya, INS Dronacharya, Cochin"
1842,kvinskalinga.ap.nic.in,"Kendriya Vidyalaya, INS Kalinga, Bheemunipatnam, Andhra Pradesh"
1843,kvinsvalsura.org,"Kendriya Vidyalaya INS Valsura, Jamnagar,  Gujarat"
1844,kviocbarauni.org,"Kendriya Vidyalaya No.2 IOC, Barauni, Bihar"
1845,kvislandgrounds.tn.nic.in,"Kendriya Vidyalaya, Island Grounds, Chennai, Tamil Nadu"
1846,kvitbp.org,"Kendriya Vidyalaya, ITBP, Seemadwar, Dehradun"
1847,kvitbpkarera.org.in,"Kendriya Vidyalaya ITBP karera, Shivpuri, Madhya Pradesh"
1848,kvjagdalpur.com,"Kendriya Vidyalaya Jagdalpur, Chhattisgarh"
1849,kvjalgaon.com,"Kendriya Vidyalaya Jalgaon, Maharashtra"
1850,kvjalipacantt.org,"Kendriya Vidyalaya Jalipa Cantonment, Barmer, Rajasthan"
1851,kvjetpur.org,"Kendriya Vidyalaya Jetpur, Gujarat"
1852,kvjhabua.org,"Kendriya Vidyalaya Jhabua, Madhya Pradesh"
1853,kvjhajjar.edu.in,"Kendriya Vidyalaya, Jhajjar, Haryana"
1854,kvjhalawar.org,"Kendriya Vidyalaya Jhalawar, Rajasthan"
1855,kvjhalwa.org,"Kendriya Vidyalaya IIIT Jhalwa, Allahabad"
1856,kvjharodakalan.edu.in,"Kendriya Vidyalaya, Jharodakalan, Delhi"
1857,kvjharsuguda.com,"Kendriya Vidyalaya Jharsuguda, Odisha"
1858,kvjhunjhunu.org,"Kendriya Vidyalaya Jhunjhunu, Rajasthan"
1859,kvjindrah.edu.in,"Kendriya Vidyalaya Jindrah, Jammu and Kashmir"
1860,kvjnu.org,"Kendriya Vidyalaya, JNU Campus, New Delhi"
1861,kvjutoghcanttshimla.com,"Kendriya Vidyalaya, Jutogh Cantonment, shimla, Himachal Pradesh"
1862,kvjyotipuram.org,"Kendriya Vidyalayas Jyotipuram, Jammu and Kashmir"
1863,kvk.pravara.com,"Krishi Vigyan Kendra (KVK), Babhaleshwar, Maharashtra"
1864,kvkahalgaon.com,"Kendriya Vidyalaya Deeptinagar, NTPC Kahalgaon, Bihar"
1865,kvkailashahar.in,"Kendriya Vidyalaya, kailashahar, Tripura"
1866,kvkaizawl.nic.in,"Krishi Vigyan Kendra, Central Agricultural University, Aizawl, Mizoram"
1867,kvkalpakkamone.tn.nic.in,"Kendriya Vidyalaya No 1, Kalpakkam, Tamil Nadu"
1868,kvkalpetta.org,"Kendriya Vidyalaya Munderi, Kalpetta, Kerala"
1869,kvkamptee.edu.in,"Kendriya Vidyalaya, Kamptee, Maharashtra"
1870,kvkanjikode.nic.in,"Kendriya Vidyalaya Kanjikode, Kerala"
1871,kvkankarbaghpatna.org,"Kendriya Vidyalaya No.1 Kankarbagh, Patna, Bihar"
1872,kvkanker.com,"Kendriya Vidyalaya Kanker, Chhattisgarh"
1873,kvkanpurcantt.ac.in,"Kendriya Vidyalaya Kanpur Cantonment, Uttar Pradesh"
1874,kvkaraikudi.tn.nic.in,Kendriya Vidyalaya Karaikudi
1875,kvkarauli.org,"Kendriya Vidyalaya Karauli, Rajasthan"
1876,kvkargil.ac.in,"Kendriya Vidyalaya Kargil, Jammu and Kashmir"
1877,kvkarnal.org,"Kendriya Vidyalaya Karnal, Haryana"
1878,kvkashipur.com,"Kendriya Vidyalaya Kashipur, Uttarakhand"
1879,kvkathmandu.net,"Kendriya Vidyalaya, Kathmandu, Nepal"
1880,kvkathua.edu.in,"Kendriya Vidyalaya Kathua, Jammu & Kashmir"
1881,kvkbaramati.com,"Krishi Vigyan Kendra (KVK), Baramati, Maharashtra"
1882,kvkcari.and.nic.in,"Krishi Vigyan Kendra (KVK), Port Blair, Andaman and Nicobar"
1883,kvkdeoghar.gov.in,"Krishi Vigyan Kendra (KVK), Deoghar, Jharkhand"
1884,kvkdimapur.nic.in,"Krishi Vigyan Kendra (KVK), Dimapur, Nagaland"
1885,kvkdoda.nic.in,"Krishi Vigyan Kendra (KVK), Bhaderwah, Jammu and Kashmir"
1886,kvkeastkameng.nic.in,"Krishi Vigyan Kendra (KVK), East Kameng, Pampoli, Arunachal Pradesh"
1887,kvkeastsikkim.nic.in,"Krishi Vigyan Kendra (KVK), Sikkim"
1888,kvkeylong.org,"Kendriya Vidyalaya Keylong, Himachal Pradesh"
1889,kvkhailakandi.nic.in,"Krishi Vigyan Kendra (KVK), Hailakandi, Assam"
1890,kvkhajuwala.org,"Kendriya Vidyalaya B.S.F, Khajuwala, Rajasthan"
1891,kvkhanapara.org,"Kendriya Vidyalaya Khanapara, Guwahati, Assam"
1892,kvkhurdaroad.org,"Kendriya Vidyalaya  Khurda Road, Odisha"
1893,kvkirandul.com,"Kendriya Vidyalaya Kirandul, Chhattisgarh"
1894,kvkishtwar.ac.in,"Kendriya Vidyalaya, Kishtwar"
1895,kvkkathua.gov.in,"Krishi Vigyan Kendra, Kathua, SKUAST, Jammu"
1896,kvknorthsikkim.gov.in,"Krishi Vigyan Kendra Pentok, Mangan, Sikkim"
1897,kvknorthtripura.nic.in,"Krishi Vigyan Kendra (KVK), North Tripura, Panisagar"
1898,kvkokrajhar.org,"Kendriya Vidyalaya, Kokrajhar, Assam"
1899,kvkollam.gov.in,"Kendriya Vidyalaya Kollam, Kerala"
1900,kvkpoonch.nic.in,"Krishi Vigyan Kendra, Poonch, Jammu and kashmir"
1901,kvkrajouri.nic.in,"Krishi Vigyan Kendra (KVK),  Rajouri, Jammu and Kashmir"
1902,kvkreasi.nic.in,"Krishi Vigyan Kendra (KVK), Reasi, Jammu and Kashmir"
1903,kvkribhoi.nic.in,"Krishi Vigyan Kendra, Ri-Bhoi, Meghalaya"
1904,kvktawang.nic.in,"Krishi Vigyan Kendra, Tawang"
1905,kvkunjaban.in,"Kendriya Vidyalaya No.1 Kunjaban, Agartala, Tripura"
1906,kvkurnool.ap.nic.in,"Kendriya Vidyalaya, Kurnool, Andhra Pradesh"
1907,kvkusmunda.com,"Kendriya Vidyalaya Korba Kusumunda, Chhattisgarh"
1908,kvkwestgarohills.nic.in,"Krishi Vigyan Kendra(KVK), West Garo Hills, Meghalaya"
1909,kvkwokha.nic.in,"Krishi Vigyan Kendra (KVK), Wokha, Nagaland"
1910,kvlakhanpur.in,"Kendriya Vidyalaya, Lakhanpur"
1911,kvlakhisarai.bih.nic.in,"Kendriya Vidyalaya Lakhisarai, Bihar"
1912,kvlamphel.in,"Kendriya Vidyalaya No.1 Lamphelpat, Imphal, Manipur"
1913,kvleh.org,"Kendriya Vidyalaya, Leh"
1914,kvlekhapani.org,"Kendriya Vidyalaya Lekhapani, Assam"
1915,kvlpeak.org,"Kendriya Vidyalaya, Laitkor Peak, Shillong"
1916,kvlunglei.com,"Kendriya Vidayalaya, Lunglei, Mizoram"
1917,kvmachilipatnam.edu.in,"Kendriya Vidyalaya, Machilipatnam, Andhra Pradesh"
1918,kvmahasamund.com,"Kendriya Vidyalaya Mahasamund, Chhattisgarh"
1919,kvmahe.com,"Kendriya Vidyalaya Mahe, Kerala"
1920,kvmaithon.org.in,"Kendriya Vidyalaya Maithon Dam, Jharkhand"
1921,kvmalappuram.gov.in,"Kendriya Vidyalaya Malappuram, Kerala"
1922,kvmaligaon.org,"Kendriya Vidyalaya NF Railway Maligaon, Assam"
1923,kvmalkangiri.org.in,"Kendriya Vidyalaya Malkangiri, Chhattisgarh"
1924,kvmalkapuram.org,"Kendriya Vidyalaya, Malkapuram, Visakhapatnam"
1925,kvmandapam.tn.nic.in,"Kendriya Vidyalaya,  Mandapam, Tamilnadu"
1926,kvmandla.com,"Kendriya Vidyalaya Mandla, Madhya Pradesh"
1927,kvmandovi.org,"Kendriya Vidyalaya, INS Mandovi Goa"
1928,kvmankhurd.org,"Kendriya Vidyalaya, Mankhurd, Mumbai"
1929,kvmanmad.org,"Kendriya Vidyalaya Manmad, Maharashtra"
1930,kvmb.net,"Kendriya Vidyalaya, Malleswaram, Karnataka"
1931,kvmbr.org,"Kendriya Vidyalaya, Meghahatuburu, West Singhbhum, Jharkhand"
1932,kvmeg.net,"Kendriya Vidyalaya MEG, Bangalore"
1933,kvmgrly.org,"Kendriya Vidyalay Railway Colony, M G Colony, Bangalore"
1934,kvmiao.in,"Kendriya Vidyalaya Miao, Arunachal Pradesh"
1935,kvminambakkam.tn.nic.in,"Kendriya Vidyalaya, Minambakkam, Tamilnadu"
1936,kvmiransahib.ac.in,"Kendriya Vidyalaya, Miran Sahib, Jammu & Kashmir"
1937,kvmissamari.edu.in,"Kendriya Vidyalaya Missamari, Assam"
1938,kvmohanbari.org.in,"Kendriya Vidyalaya, AFS, Mohanbari, Assam"
1939,kvmotihari.org,"Kendriya Vidyalaya, Motihari, Bihar"
1940,kvmountabu.org,"Kendriya Vidyalaya, Internal Security Academy (CRPF), Mount Abu, Rajasthan"
1941,kvmudkhed.com,"Kendriya Vidyalaya CRPF MudKhed, Nanded, Maharashtra"
1942,kvmughalsarai.org,"Kendriya Vidyalaya Mughalsarai, Uttar Pradesh"
1943,kvmuzaffarpur.org,"Kendriya Vidyalaya Muzaffarpur, Bihar"
